"SL 1X36G 2,54";"4";"J6,TP1,TP2,TP3"
"MPE 087-2-008";"3";"J7,J8"
"MPE 001-2-024-3";"1";"IC4"
"MPE 001-2-020-3";"1";"IC3"
"BL 1X50G7 2,54";"1";"J2,J3"
"FIS BL4.72Z";"1";"J4,J5"
"SL 2X36W 2,54";"1";"J1"
"METALL 470";"20";"R8,R7,R6,..."
"FM-A 220U 10";"2";"C8"
"SU-A 10U 50";"5";""
"RAD FC 100/25";"5";"C7"
"2N 3904";"2";"Q1"
"SN 74LS74AN TEX";"2";"IC6"
"ATF 16V8BQL15 PU";"2";"IC3"
"74HCT 245";"6";"IC1,IC5,IC2"
"Z5U-2,5 100N";"15";"C1,C2,C3,..."
"METALL 150K";"5";"R9"
"JUMPER 2,54 RT";"10";"JP1,JP3,JP4,JP5,JP6"
"BKL 10120919";"10";"JP1,JP3,JP4,JP5,JP6"
